time="2023-07-13 18:04:05" level=info msg="start server...\r\ngo：http://0.0.0.0:8081"
time="2023-07-13 18:05:43" level=info msg="start server...\r\ngo：http://0.0.0.0:8081"
time="2023-07-13 18:05:48" level=info msg="| 200 |      21.209ms |       127.0.0.1 | GET | / |"
time="2023-07-13 18:05:50" level=info msg="| 404 |            0s |       127.0.0.1 | GET | /favicon.ico |"
time="2023-07-13 18:05:57" level=info msg="| 200 |     14.6834ms |       127.0.0.1 | GET | /chatIndex?kefu_id=kefu |"
time="2023-07-13 18:05:58" level=info msg="| 200 |    756.8279ms |       127.0.0.1 | POST | /visitor_login |"
time="2023-07-13 18:06:03" level=info msg="| 200 |      15.461ms |       127.0.0.1 | GET | /login |"
time="2023-07-13 18:06:27" level=info msg="| 200 |    368.0281ms |       127.0.0.1 | POST | /check |"
time="2023-07-13 18:07:48" level=info msg="| 200 |     723.585ms |       127.0.0.1 | POST | /check |"
time="2023-07-13 18:07:48" level=info msg="| 200 |     14.8852ms |       127.0.0.1 | GET | /main |"
time="2023-07-13 18:07:48" level=info msg="| 200 |     23.9228ms |       127.0.0.1 | GET | /chat_main |"
time="2023-07-13 18:07:48" level=info msg="| 200 |    359.7844ms |       127.0.0.1 | POST | /check_auth |"
time="2023-07-13 18:07:49" level=info msg="| 200 |       567.4µs |       127.0.0.1 | GET | /visitors_kefu_online |"
time="2023-07-13 18:07:50" level=info msg="| 200 |    727.0559ms |       127.0.0.1 | GET | /kefuinfo |"
time="2023-07-13 18:07:51" level=info msg="| 200 |      1.45363s |       127.0.0.1 | GET | /replys |"
time="2023-07-13 18:07:52" level=info msg="| 200 |    2.1052697s |       127.0.0.1 | GET | /ipblacks |"
time="2023-07-13 18:07:57" level=info msg="| 200 |      14.785ms |       127.0.0.1 | GET | /chatIndex?kefu_id=kefu |"
time="2023-07-13 18:07:58" level=info msg="| 200 |    763.2003ms |       127.0.0.1 | POST | /visitor_login |"
